transmissibility,susceptibility_scale,relative_susceptibility,minimum_transmissibility_scale,transmissibility_scale,transmissibility_midpoint,cluster,"[0,10)","[10,20)","[20,30)","[30,40)","[40,50)","[50,60)","[60,70)","[70,80)",80+,overall_ar
0.128,1,0,0,0.1,40,1,0.8032959993605224,0.8945128430227852,0.9357151815177026,0.9564025985008926,0.9670018161435886,0.9529077511234482,0.9343340397184495,0.931623259581643,0.9069460121007327,0.9250041392582645
0.129,1,0,0,0.1,40,1,0.8062556323387838,0.8967034840823872,0.9373293779322818,0.9576467617575654,0.9680248989818862,0.9542253893142103,0.935992723053611,0.9333346307055153,0.9089988576343633,0.9266688583844471
0.13,1,0,0,0.1,40,1,0.8091645969043771,0.8988441667399759,0.938899702445913,0.9588528725074063,0.9690141871879142,0.9555034433291683,0.9376060376735325,0.9349995805709097,0.9110020913863224,0.9282909048497238
0.131,1,0,0,0.1,40,1,0.8120238535614515,0.9009360773859818,0.9404273634970738,0.9600220892750755,0.9699707797831971,0.956743100451531,0.9391752413854733,0.9366193875219112,0.9129569537698498,0.9298714367775772
0.132,1,0,0,0.1,40,1,0.8148345042000397,0.9029805560779238,0.9419137239414953,0.9611557185679911,0.970895916630202,0.957945698133568,0.940701746762031,0.9381954845309077,0.9148648400589241,0.9314117614148565
0.133,1,0,0,0.1,40,1,0.8175975508905327,0.9049788023738508,0.9433599787341971,0.962254886550326,0.9717906533736269,0.9591123959665806,0.9421868028869338,0.9397291445427043,0.9167270005597183,0.9329130246665137
0.134,1,0,0,0.1,40,1,0.8203140130815589,0.9069320861743019,0.9447674463847696,0.9633208777011211,0.9726562221402172,0.9602444999818234,0.943631760780822,0.941221730733918,0.9185447524572729,0.9343764892676824
0.135,1,0,0,0.1,40,1,0.8229848375097234,0.9088415298504986,0.9461372338502054,0.9643547268321015,0.9734935871066074,0.9613430776403562,0.9450377787941078,0.9426744248892045,0.9203192631547099,0.9358032162065839
0.136,1,0,0,0.1,40,1,0.8256108252789442,0.910708120153618,0.9474703431605759,0.9653573952322612,0.9743036618550612,0.9624091131757757,0.9464058991221204,0.9440882863237112,0.9220515623819839,0.9371941670053628
0.137,1,0,0,0.1,40,1,0.8281931672502518,0.9125332301971963,0.9487681121584842,0.9663301176619618,0.9750875834361107,0.9634438799839435,0.9477375070538723,0.945464723443728,0.9237430611198646,0.9385506195326482
0.138,1,0,0,0.1,40,1,0.8307326041495413,0.9143177758705837,0.9500314695768205,0.9672737833972495,0.9758461950452533,0.9644482867626608,0.9490335623000914,0.9468047099422437,0.9253947093020866,0.9398734624222824
0.139,1,0,0,0.1,40,1,0.8332300933029273,0.9160628552114873,0.951261477795292,0.9681893717578766,0.9765804009393534,0.9654233485935749,0.9502951825221431,0.9481093888151777,0.9270076477673735,0.9411637167568924
0.14,1,0,0,0.1,40,1,0.8356863078654023,0.9177693067182914,0.9524589898357431,0.9690777021115284,0.977290979549661,0.9663699003619072,0.9515232440128049,0.9493796473529899,0.9285827424561139,0.9424221975929437
0.14100000000000001,1,0,0,0.1,40,1,0.8381021532665701,0.9194381779791051,0.9536250223123814,0.9699397120586353,0.9779787951395965,0.9672889097568822,0.9527188035865838,0.9506165621597105,0.9301210718283803,0.9436498773162354
0.14200000000000002,1,0,0,0.1,40,1,0.8404784304258481,0.9210704065224865,0.9547604908190733,0.970776251771074,0.9786446358629012,0.9681812523516046,0.9538828119057041,0.9518211011776176,0.9316236016776276,0.9448476319721015
0.14300000000000002,1,0,0,0.1,40,1,0.8428159190379552,0.9226669012108872,0.9558662793557257,0.9715881394731071,0.9792892584872843,0.9690477712924999,0.9550161868593888,0.9529941992651939,0.9330912671597495,0.946016307246247
0.14400000000000002,1,0,0,0.1,40,1,0.8451153781636112,0.9242285435426708,0.9569432422162553,0.9723761636515016,0.9799133907576317,0.969889279448829,0.9561198153706869,0.954136759929414,0.9345249741934352,0.9471567202687148
0.14500000000000002,1,0,0,0.1,40,1,0.8473775514654494,0.9257561929279462,0.957992208792288,0.9731410873619916,0.9805177353246385,0.9707065639204372,0.9571945585477107,0.955249660649857,0.9359256049216519,0.9482696643419936
0.14600000000000002,1,0,0,0.1,40,1,0.8496031608400572,0.9272506807418645,0.9590139785486178,0.9738836440100364,0.9811029660903879,0.9715003815672417,0.9582412463026777,0.9563337472910726,0.9372940116968282,0.949355903985874
0.14700000000000002,1,0,0,0.1,40,1,0.8517929108295277,0.9287128160671838,0.9600093275767934,0.9746045442040898,0.9816697351028963,0.9722714658356778,0.9592606838457692,0.957389840515937,0.9386310230162651,0.9504161812594354
0.14800000000000002,1,0,0,0.1,40,1,0.8539474910515311,0.9301433840469684,0.9609790028840187,0.9753044675175334,0.9822186629925826,0.9730205192549409,0.9602536473007662,0.9584187322181295,0.9399374418839167,0.9514512105503615
0.14900000000000002,1,0,0,0.1,40,1,0.8560675725496186,0.9315431483116755,0.9619237308423636,0.9759840747097992,0.98275035319333,0.9737482246048581,0.9612208903337055,0.9594211909993012,0.9412140483466538,0.9524616863296228
0.15,1,0,0,0.1,40,1,0.8581538092406229,0.9329128499220383,0.9628442135056952,0.9766440023315361,0.9832653856162136,0.974455240030679,0.9621631413764251,0.9603979599411379,0.9424615984973659,0.9534482797436094
