date,province,percentage
1/15/20,Hainan,0.00
1/15/20,Liaoning Province,0.00
1/15/20,Heilongjiang Province,0.00
1/15/20,Xinjiang Uygur Autonomous Region,0.00
1/15/20,Tianjin,0.00
1/15/20,Jilin Province,0.00
1/15/20,Inner Mongolia Autonomous Region,0.00
1/15/20,Ningxia Hui Autonomous Region,0.00
1/15/20,Qinghai Province,0.00
1/15/20,Tibet Autonomous Region,0.00
1/14/20,Hubei Province,0.65
1/14/20,Henan Province,0.06
1/14/20,Hunan Province,0.04
1/14/20,Anhui Province,0.02
1/14/20,Jiangxi Province,0.02
1/14/20,Guangdong Province,0.02
1/14/20,Jiangsu Province,0.02
1/14/20,Sichuan Province,0.02
1/14/20,Chongqing,0.01
1/14/20,Beijing,0.01
1/14/20,Shandong Province,0.01
1/14/20,Zhejiang Province,0.01
1/14/20,Shanghai,0.01
1/14/20,Fujian Province,0.01
1/14/20,Guangxi Zhuang Autonomous Region,0.01
1/14/20,Hebei Province,0.01
1/14/20,Shaanxi Province,0.01
1/14/20,Guizhou Province,0.01
1/14/20,Shanxi Province,0.01
1/14/20,Yunnan Province,0.01
1/14/20,Gansu province,0.00
1/14/20,Liaoning Province,0.00
1/14/20,Hainan,0.00
1/14/20,Xinjiang Uygur Autonomous Region,0.00
1/14/20,Heilongjiang Province,0.00
1/14/20,Inner Mongolia Autonomous Region,0.00
1/14/20,Jilin Province,0.00
1/14/20,Tianjin,0.00
1/14/20,Ningxia Hui Autonomous Region,0.00
1/14/20,Qinghai Province,0.00
1/14/20,Tibet Autonomous Region,0.00
1/13/20,Hubei Province,0.64
1/13/20,Henan Province,0.05
1/13/20,Hunan Province,0.04
1/13/20,Guangdong Province,0.02
1/13/20,Anhui Province,0.02
1/13/20,Jiangxi Province,0.02
1/13/20,Jiangsu Province,0.02
1/13/20,Sichuan Province,0.02
1/13/20,Beijing,0.01
1/13/20,Zhejiang Province,0.01
1/13/20,Chongqing,0.01
1/13/20,Shandong Province,0.01
1/13/20,Guangxi Zhuang Autonomous Region,0.01
1/13/20,Hebei Province,0.01
1/13/20,Shanghai,0.01
1/13/20,Fujian Province,0.01
1/13/20,Guizhou Province,0.01
1/13/20,Shaanxi Province,0.01
1/13/20,Shanxi Province,0.01
1/13/20,Yunnan Province,0.01
1/13/20,Gansu province,0.01
1/13/20,Liaoning Province,0.00
1/13/20,Hainan,0.00
1/13/20,Xinjiang Uygur Autonomous Region,0.00
1/13/20,Heilongjiang Province,0.00
1/13/20,Inner Mongolia Autonomous Region,0.00
1/13/20,Jilin Province,0.00
1/13/20,Tianjin,0.00
1/13/20,Ningxia Hui Autonomous Region,0.00
1/13/20,Qinghai Province,0.00
1/13/20,Tibet Autonomous Region,0.00
1/12/20,Hubei Province,0.66
1/12/20,Henan Province,0.05
1/12/20,Hunan Province,0.03
1/12/20,Guangdong Province,0.02
1/12/20,Anhui Province,0.02
1/12/20,Jiangxi Province,0.02
1/12/20,Jiangsu Province,0.02
1/12/20,Sichuan Province,0.02
1/12/20,Chongqing,0.01
1/12/20,Shandong Province,0.01
1/12/20,Zhejiang Province,0.01
1/12/20,Beijing,0.01
1/12/20,Guangxi Zhuang Autonomous Region,0.01
1/12/20,Hebei Province,0.01
1/12/20,Fujian Province,0.01
1/12/20,Guizhou Province,0.01
1/12/20,Shanghai,0.01
1/12/20,Shaanxi Province,0.01
1/12/20,Shanxi Province,0.01
1/12/20,Yunnan Province,0.01
1/12/20,Gansu province,0.00
1/12/20,Hainan,0.00
1/12/20,Liaoning Province,0.00
1/12/20,Xinjiang Uygur Autonomous Region,0.00
1/12/20,Heilongjiang Province,0.00
1/12/20,Inner Mongolia Autonomous Region,0.00
1/12/20,Tianjin,0.00
1/12/20,Jilin Province,0.00
1/12/20,Ningxia Hui Autonomous Region,0.00
1/12/20,Qinghai Province,0.00
1/12/20,Tibet Autonomous Region,0.00
1/11/20,Hubei Province,0.67
1/11/20,Henan Province,0.05
1/11/20,Hunan Province,0.04
1/11/20,Anhui Province,0.02
1/11/20,Guangdong Province,0.02
1/11/20,Jiangxi Province,0.02
1/11/20,Jiangsu Province,0.02
1/11/20,Zhejiang Province,0.01
1/11/20,Sichuan Province,0.01
1/11/20,Chongqing,0.01
1/11/20,Beijing,0.01
1/11/20,Shandong Province,0.01
1/11/20,Hebei Province,0.01
1/11/20,Guangxi Zhuang Autonomous Region,0.01
1/11/20,Shanghai,0.01
1/11/20,Fujian Province,0.01
1/11/20,Shaanxi Province,0.01
1/11/20,Guizhou Province,0.01
1/11/20,Shanxi Province,0.01
1/11/20,Yunnan Province,0.01
1/11/20,Gansu province,0.00
1/11/20,Hainan,0.00
